Наименование;Кол-во;Комментарий;Где покупаем;Ссылка;;;;;;;;;;;;;;;;;;;;;;;
Пружина витая 0.8*8*40мм;2;;Китай;https://ru.aliexpress.com/item/50pcs-0-8-8-15mm-0-8-15mm-0-8mm-stainless-steel-Small-spot-spring-wire/32660845269.html;;;;;;;;;;;;;;;;;;;;;;;
Клейкая лента двусторонняя, 3М (квадрат);10;3M;Китай;https://ru.aliexpress.com/item/3M-original-4229P-Auto-double-sided-adhesive-acrylic-foam-tape-25mm-25mm-square-black-tape-2000/32507767764.html;;;;;;;;;;;;;;;;;;;;;;;
PLA Дикая пантера 1,75 мм 1 кг. (6552);1;;РФ;;;;;;;;;;;;;;;;;;;;;;;;
Узел складывания лучей;4;;Китай;;;;;;;;;;;;;;;;;;;;;;;;
Наполнитель пенопластовый W-форма, 200 л;1;;РФ;;;;;;;;;;;;;;;;;;;;;;;;
Плита ОСП (OSB), кромка «шип-паз», 8х550х750 мм;2;;РФ;;;;;;;;;;;;;;;;;;;;;;;;
Плита ОСП (OSB), кромка «шип-паз», 8х550х765 мм;2;;РФ;;;;;;;;;;;;;;;;;;;;;;;;
Плита ОСП (OSB), кромка «шип-паз», 8х765х760 мм;2;;РФ;;;;;;;;;;;;;;;;;;;;;;;;
Брус сухой строганый хв/п 40х40 мм сорт АВ клееный, длинна 750 мм;4;;РФ;;;;;;;;;;;;;;;;;;;;;;;;
Брус сухой строганый хв/п 40х40 мм сорт АВ клееный, длинна 675 мм;4;;РФ;;;;;;;;;;;;;;;;;;;;;;;;
Брус сухой строганый хв/п 40х40 мм сорт АВ клееный, длинна 470 мм;4;;РФ;;;;;;;;;;;;;;;;;;;;;;;;
Белый саморез по дереву с головкой PZ 2,5х25 бд2520;72;;РФ;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
